Latitude,Longitude
50.775,6.08333
56.18333,10.23333
32.1,71.8
44.83333,95.16667
44.21667,0.61667
16.39806,-9.57028
19.08333,8.38333
29.51667,35.05
29.71667,77.95
8.91667,8.43333
39.91667,42.81667
24.41667,39.51667
13.66033,28.96
44.11667,4.08333
44.65,11.01667
2.0,22.66667
45.82133,6.01533
51.78333,-1.78333
36.23333,37.13333
44.88333,8.75
50.95,31.81667
45.26667,10.15
20.74575,32.41275
35.27333,44.21556
27.66667,78.25
26.58333,85.56667
48.7,37.5
20.88333,76.86667
9.53333,39.71667
25.15,105.18333
53.58333,-2.71667
43.86667,5.38333
42.45,9.03333
52.05,0.3
43.03333,12.55
25.25417,80.625
44.38333,5.16667
36.16667,3.66667
44.33333,3.23333
43.08333,0.58333
46.0,13.5
2.71667,32.83333
48.6,38.0
28.48333,78.5
5.38333,16.38333
16.66667,101.18333
-6.91667,107.6
27.7,76.33333
30.4,78.2
-6.33333,106.0
43.95,-0.05
42.38333,-2.5
52.73333,84.08333
52.0,9.1
31.61667,76.8
52.56528,-1.33972
15.78333,-5.9
52.03333,20.93583
11.08333,-0.18333
53.01667,-4.1
25.36667,82.91667
32.25,-8.15
32.86667,10.8
-26.16667,28.41667
30.0,-7.0
11.65,-3.65
41.68333,-3.8
43.21667,-0.23333
33.88333,35.5
20.88333,74.83333
26.50833,73.11528
20.83333,71.46667
22.68333,90.65
22.08333,86.9
53.1,23.2
50.13333,27.16667
12.45,-0.08333
13.76667,5.3
25.38333,82.6
49.78333,30.16667
60.4,25.8
49.36667,16.63333
33.83333,115.83333
12.5,0.7
44.55,131.63333
44.86667,10.05
21.95,78.03333
54.23333,52.48333
48.15,24.28333
55.46667,35.86667
51.33333,33.88333
17.71067,-11.3715
17.17493,-11.34133
54.56667,-6.33333
50.6,16.3
50.66694,8.18361
53.4,9.1
52.13333,59.31667
39.77978,64.60035
10.01667,9.58333
5.0,48.0
40.2,29.23333
46.45,25.78333
26.78333,82.83333
27.08333,84.08333
37.98333,-1.16667
43.83889,20.33333
-7.03333,-40.16667
39.8,26.6
41.25,1.66667
43.38333,-5.15
38.5,27.0
39.8,16.2
45.08333,8.3
28.53333,109.31667
25.36667,81.66667
25.85,83.48333
20.26667,76.01667
27.28333,79.05
29.08333,111.75
46.68333,1.05
47.93333,1.56667
29.48333,75.5
47.71667,5.36667
47.93333,2.91667
41.93333,-7.46667
-3.66667,32.5
54.81667,61.11667
23.69639,-5.01472
53.7,30.1
46.55,6.81667
50.83333,34.0
14.5,76.5
17.9,101.63333
-10.05944,33.395
47.47083,0.97667
-6.95,108.1
-33.13333,19.38333
42.53333,12.61667
10.2,76.26667
-27.7,27.3
54.61667,-6.21667
35.61667,8.83333
26.91667,83.96667
-28.2,24.56667
49.86667,8.65
41.98444,59.685
28.56667,77.25
51.46667,84.76667
26.68333,93.86667
25.73333,73.61667
19.0,81.0
24.225,76.525
22.37778,71.42722
14.88333,75.6
32.23333,76.46667
37.35172,27.32997
-33.75,18.56667
12.73333,15.05
36.95,9.55
23.5,90.33333
50.75,25.3
40.0,29.0
45.5,119.03333
21.86667,82.45
32.91667,120.78333
51.2,112.3
13.05,3.16667
32.33333,-6.3
-13.66667,33.91667
42.45833,18.44167
52.55,-8.03333
30.3,76.63333
-4.0,39.5
33.43333,127.26667
